Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1996","1996","%","25.284329","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1997","1997","million USD","103654.687675","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1997","1997","%","24.3581","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1998","1998","million USD","104308.427796","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1998","1998","%","24.283173","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1999","1999","million USD","104355.362712","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","1999","1999","%","22.597956","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2000","2000","million USD","100394.054485","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2000","2000","%","21.084631","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2001","2001","million USD","103803.851213","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2001","2001","%","21.156015","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2002","2002","million USD","97635.074004","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2002","2002","%","19.040543","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2003","2003","million USD","114726.839724","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2003","2003","%","19.138031","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2004","2004","million USD","125260.207106","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2004","2004","%","17.814685","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2005","2005","million USD","145122.077734","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2005","2005","%","17.620209","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2006","2006","million USD","157851.737801","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2006","2006","%","16.809433","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2007","2007","million USD","198442.830701","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2007","2007","%","16.750125","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2008","2008","million USD","212820.158211","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2008","2008","%","16.790941","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2009","2009","million USD","220720.274557","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2009","2009","%","16.781874","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","million USD","285486.249761","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","%","17.098878","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","million USD","321819.64939","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","%","17.191974","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","million USD","313471.787066","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","%","16.845377","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","million USD","328744.487295","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","%","17.148424","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","million USD","343049.027705","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","%","16.791935","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","million USD","347227.644556","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","%","16.174508","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","million USD","374827.040077","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","%","16.363801","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","million USD","434545.099302","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","61570","Share of GDP Standard Local Currency","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","%","16.558331","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","2018","2018","million USD","443039.721575","X","Figure from international organizations",""
